model_name,question_id,difficulty,result,efficiency_score,repetition_number
Qwen-3-Coder-480B,82,simple,correct,10.094760960262636,1
Qwen-3-Coder-480B,82,simple,correct,0.9597633136094674,2
Qwen-3-Coder-480B,82,simple,correct,1.1218807171606293,3
Qwen-3-Coder-480B,82,simple,correct,1.0146029814420445,4
Qwen-3-Coder-480B,82,simple,correct,1.1724527566725111,5
Qwen-3-Coder-480B,82,simple,correct,1.0956003969566657,6
Qwen-3-Coder-480B,82,simple,correct,0.9945001964215564,7
Qwen-3-Coder-480B,82,simple,correct,1.1035988614652785,8
Qwen-3-Coder-480B,82,simple,correct,1.039557088983391,9
Qwen-3-Coder-480B,82,simple,correct,1.0579494799405647,10
Qwen-3-Coder-480B,82,simple,correct,1.103229964364243,11
Qwen-3-Coder-480B,82,simple,correct,1.55098452883263,12
Qwen-3-Coder-480B,82,simple,correct,1.266605216071138,13
Qwen-3-Coder-480B,82,simple,correct,1.512576611914685,14
Qwen-3-Coder-480B,82,simple,correct,1.490421364418116,15
Qwen-3-Coder-480B,82,simple,correct,1.5045858308658915,16
Qwen-3-Coder-480B,82,simple,correct,1.4634705376754846,17
Qwen-3-Coder-480B,82,simple,correct,1.5236119438781628,18
Qwen-3-Coder-480B,82,simple,correct,1.4877809161242785,19
Qwen-3-Coder-480B,82,simple,correct,1.4917307188920352,20
Qwen-3-Coder-480B,82,simple,correct,1.4798707814297252,21
Qwen-3-Coder-480B,82,simple,correct,1.4877588103093768,22
Qwen-3-Coder-480B,82,simple,correct,1.399720412837215,23
Qwen-3-Coder-480B,82,simple,correct,1.3915997800989555,24
Qwen-3-Coder-480B,82,simple,correct,1.5145603075444498,25
Qwen-3-Coder-480B,82,simple,correct,1.4868383404864092,26
Qwen-3-Coder-480B,82,simple,correct,1.4352567773959526,27
Qwen-3-Coder-480B,82,simple,correct,1.5346952010376136,28
Qwen-3-Coder-480B,82,simple,correct,1.48169461256077,29
Qwen-3-Coder-480B,82,simple,correct,1.5800589970501475,30
Qwen-3-Coder-480B,82,simple,correct,1.5805243445692885,31
Qwen-3-Coder-480B,82,simple,correct,1.4932425978987585,32
Qwen-3-Coder-480B,82,simple,correct,1.5448994927672366,33
Qwen-3-Coder-480B,82,simple,correct,1.4662627900875331,34
Qwen-3-Coder-480B,82,simple,correct,1.0401926282644933,35
Qwen-3-Coder-480B,82,simple,correct,1.5823760325602678,36
Qwen-3-Coder-480B,82,simple,correct,1.488602201443958,37
Qwen-3-Coder-480B,82,simple,correct,1.4930393594768099,38
Qwen-3-Coder-480B,82,simple,correct,1.4698981746515885,39
Qwen-3-Coder-480B,82,simple,correct,1.6435891653511738,40
Qwen-3-Coder-480B,82,simple,correct,1.481848184818482,41
Qwen-3-Coder-480B,82,simple,correct,1.477134218358766,42
Qwen-3-Coder-480B,82,simple,correct,1.4393953820518923,43
Qwen-3-Coder-480B,82,simple,correct,1.5153488147773035,44
Qwen-3-Coder-480B,82,simple,correct,1.4689535806149185,45
Qwen-3-Coder-480B,82,simple,correct,1.1498133107509911,46
Qwen-3-Coder-480B,82,simple,correct,1.4695641617093602,47
Qwen-3-Coder-480B,82,simple,correct,1.495065828773506,48
Qwen-3-Coder-480B,82,simple,correct,1.5593108018555335,49
Qwen-3-Coder-480B,82,simple,correct,1.4572382542332458,50
Qwen-3-Coder-480B,831,simple,correct,4.6456,1
Qwen-3-Coder-480B,831,simple,correct,1.2977005870841487,2
Qwen-3-Coder-480B,831,simple,correct,1.3269617706237424,3
Qwen-3-Coder-480B,831,simple,correct,1.4084262701363073,4
Qwen-3-Coder-480B,831,simple,correct,1.3856292517006803,5
Qwen-3-Coder-480B,831,simple,correct,1.5663874079715663,6
Qwen-3-Coder-480B,831,simple,correct,1.3976667512046665,7
Qwen-3-Coder-480B,831,simple,correct,1.3703488372093022,8
Qwen-3-Coder-480B,831,simple,correct,1.422498364944408,9
Qwen-3-Coder-480B,831,simple,correct,1.307319698600646,10
Qwen-3-Coder-480B,831,simple,correct,1.469955724225174,11
Qwen-3-Coder-480B,831,simple,correct,1.2484210526315789,12
Qwen-3-Coder-480B,831,simple,correct,1.3463953780457172,13
Qwen-3-Coder-480B,831,simple,correct,1.3846153846153846,14
Qwen-3-Coder-480B,831,simple,correct,1.3606260296540362,15
Qwen-3-Coder-480B,831,simple,correct,1.1552444630171332,16
Qwen-3-Coder-480B,831,simple,correct,1.3231042353537916,17
Qwen-3-Coder-480B,831,simple,correct,1.4867698452321518,18
Qwen-3-Coder-480B,831,simple,correct,0.9363817097415507,19
Qwen-3-Coder-480B,831,simple,correct,1.541871921182266,20
Qwen-3-Coder-480B,831,simple,correct,1.35047825302292,21
Qwen-3-Coder-480B,831,simple,correct,1.4090909090909092,22
Qwen-3-Coder-480B,831,simple,correct,1.4623409669211196,23
Qwen-3-Coder-480B,831,simple,correct,1.2363825363825365,24
Qwen-3-Coder-480B,831,simple,correct,1.452767902488573,25
Qwen-3-Coder-480B,831,simple,correct,1.4283333333333332,26
Qwen-3-Coder-480B,831,simple,correct,1.3230579531442663,27
Qwen-3-Coder-480B,831,simple,correct,1.7978791092258748,28
Qwen-3-Coder-480B,831,simple,correct,1.3644768856447689,29
Qwen-3-Coder-480B,831,simple,correct,1.7612009237875288,30
Qwen-3-Coder-480B,831,simple,correct,1.3292477769766884,31
Qwen-3-Coder-480B,831,simple,correct,1.0067685167279057,32
Qwen-3-Coder-480B,831,simple,correct,0.5186363058135097,33
Qwen-3-Coder-480B,831,simple,correct,1.3618261291889266,34
Qwen-3-Coder-480B,831,simple,correct,1.3341553637484587,35
Qwen-3-Coder-480B,831,simple,correct,1.4185745140388768,36
Qwen-3-Coder-480B,831,simple,correct,1.4829667960327728,37
Qwen-3-Coder-480B,831,simple,correct,1.3665338645418326,38
Qwen-3-Coder-480B,831,simple,correct,1.3388676032354194,39
Qwen-3-Coder-480B,831,simple,correct,1.4180470793374018,40
Qwen-3-Coder-480B,831,simple,correct,1.533837746952501,41
Qwen-3-Coder-480B,831,simple,correct,0.6995143666531769,42
Qwen-3-Coder-480B,831,simple,correct,1.4514296187683284,43
Qwen-3-Coder-480B,831,simple,correct,0.6386172006745363,44
Qwen-3-Coder-480B,831,simple,correct,0.7747216764898494,45
Qwen-3-Coder-480B,831,simple,correct,1.1887653264898774,46
Qwen-3-Coder-480B,831,simple,correct,1.406400701446734,47
Qwen-3-Coder-480B,831,simple,correct,1.444310656231186,48
Qwen-3-Coder-480B,831,simple,correct,1.467429139731477,49
Qwen-3-Coder-480B,831,simple,correct,1.473163492456097,50
Qwen-3-Coder-480B,554,simple,correct,2.5017796417446307,1
Qwen-3-Coder-480B,554,simple,correct,0.5639527881488618,2
Qwen-3-Coder-480B,554,simple,correct,1.161003955322013,3
Qwen-3-Coder-480B,554,simple,correct,1.1425090469822268,4
Qwen-3-Coder-480B,554,simple,correct,0.5647789621996308,5
Qwen-3-Coder-480B,554,simple,correct,0.40322160956570224,6
Qwen-3-Coder-480B,554,simple,correct,0.5705089493029019,7
Qwen-3-Coder-480B,554,simple,correct,0.5941864706083004,8
Qwen-3-Coder-480B,554,simple,correct,0.5551068693002824,9
Qwen-3-Coder-480B,554,simple,correct,1.1586657663455755,10
Qwen-3-Coder-480B,554,simple,correct,1.1686758865082638,11
Qwen-3-Coder-480B,554,simple,correct,1.103091798171631,12
Qwen-3-Coder-480B,554,simple,correct,1.0726125056802238,13
Qwen-3-Coder-480B,554,simple,correct,1.156639615659287,14
Qwen-3-Coder-480B,554,simple,correct,0.3443466042935705,15
Qwen-3-Coder-480B,554,simple,correct,1.0307580605780229,16
Qwen-3-Coder-480B,554,simple,correct,1.1220164587700545,17
Qwen-3-Coder-480B,554,simple,correct,0.5746988952139777,18
Qwen-3-Coder-480B,554,simple,correct,0.5739289576138723,19
Qwen-3-Coder-480B,554,simple,correct,1.1339144842725148,20
Qwen-3-Coder-480B,554,simple,correct,0.5392183822212355,21
Qwen-3-Coder-480B,554,simple,correct,1.0858245556371555,22
Qwen-3-Coder-480B,554,simple,correct,1.019552921277112,23
Qwen-3-Coder-480B,554,simple,correct,0.9871543302636479,24
Qwen-3-Coder-480B,554,simple,correct,0.9921428814139677,25
Qwen-3-Coder-480B,554,simple,correct,0.4318871051459797,26
Qwen-3-Coder-480B,554,simple,correct,0.38537532869629604,27
Qwen-3-Coder-480B,554,simple,correct,0.4271294777663667,28
Qwen-3-Coder-480B,554,simple,correct,0.40202885743291933,29
Qwen-3-Coder-480B,554,simple,correct,0.4176541297285534,30
Qwen-3-Coder-480B,554,simple,correct,0.9521628165695962,31
Qwen-3-Coder-480B,554,simple,correct,0.9788802062777909,32
Qwen-3-Coder-480B,554,simple,correct,0.9653718271024248,33
Qwen-3-Coder-480B,554,simple,correct,0.9866003832999799,34
Qwen-3-Coder-480B,554,simple,correct,0.9728885412067839,35
Qwen-3-Coder-480B,554,simple,correct,0.41643527890605614,36
Qwen-3-Coder-480B,554,simple,correct,0.9552763637862457,37
